x,y
700221.0321,261416.5297
699932.357,261916.5297
700221.0321,262416.5297
700798.3824,261416.5297
701087.0576,260916.5297
700798.3824,260416.5297
700221.0321,260416.5297
699932.357,260916.5297
700221.0321,261416.5297
700798.3824,260416.5297
701087.0576,259916.5297
700798.3824,259416.5297
700221.0321,259416.5297
699932.357,259916.5297
700221.0321,260416.5297
700798.3824,259416.5297
701087.0576,258916.5297
700798.3824,258416.5297
700221.0321,258416.5297
699932.357,258916.5297
700221.0321,259416.5297
700798.3824,258416.5297
701087.0576,257916.5297
700798.3824,257416.5297
700221.0321,257416.5297
699932.357,257916.5297
700221.0321,258416.5297
700798.3824,257416.5297
701087.0576,256916.5297
700798.3824,256416.5297
700221.0321,256416.5297
699932.357,256916.5297
700221.0321,257416.5297
700798.3824,256416.5297
701087.0576,255916.5297
700798.3824,255416.5297
700221.0321,255416.5297
699932.357,255916.5297
700221.0321,256416.5297
700798.3824,255416.5297
701087.0576,254916.5297
700798.3824,254416.5297
700221.0321,254416.5297
699932.357,254916.5297
700221.0321,255416.5297
700798.3824,254416.5297
701087.0576,253916.5297
700798.3824,253416.5297
700221.0321,253416.5297
699932.357,253916.5297
700221.0321,254416.5297
700798.3824,253416.5297
701087.0576,252916.5297
700798.3824,252416.5297
700221.0321,252416.5297
699932.357,252916.5297
700221.0321,253416.5297
700798.3824,252416.5297
701087.0576,251916.5297
700798.3824,251416.5297
700221.0321,251416.5297
699932.357,251916.5297
700221.0321,252416.5297
700798.3824,251416.5297
701087.0576,250916.5297
700798.3824,250416.5297
700221.0321,250416.5297
699932.357,250916.5297
700221.0321,251416.5297
700798.3824,250416.5297
701087.0576,249916.5297
700798.3824,249416.5297
700221.0321,249416.5297
699932.357,249916.5297
700221.0321,250416.5297
700798.3824,249416.5297
701087.0576,248916.5297
700798.3824,248416.5297
700221.0321,248416.5297
699932.357,248916.5297
700221.0321,249416.5297
700798.3824,248416.5297
701087.0576,247916.5297
700798.3824,247416.5297
700221.0321,247416.5297
699932.357,247916.5297
700221.0321,248416.5297
700798.3824,247416.5297
701087.0576,246916.5297
700798.3824,246416.5297
700221.0321,246416.5297
699932.357,246916.5297
700221.0321,247416.5297
700798.3824,246416.5297
701087.0576,245916.5297
700798.3824,245416.5297
700221.0321,245416.5297
699932.357,245916.5297
700221.0321,246416.5297
700798.3824,245416.5297
701087.0576,244916.5297
700798.3824,244416.5297
700221.0321,244416.5297
699932.357,244916.5297
700221.0321,245416.5297
700798.3824,244416.5297
701087.0576,243916.5297
700798.3824,243416.5297
700221.0321,243416.5297
699932.357,243916.5297
700221.0321,244416.5297
700798.3824,243416.5297
701087.0576,242916.5297
700798.3824,242416.5297
700221.0321,242416.5297
699932.357,242916.5297
700221.0321,243416.5297
700798.3824,242416.5297
701087.0576,241916.5297
700798.3824,241416.5297
700221.0321,241416.5297
699932.357,241916.5297
700221.0321,242416.5297
700798.3824,241416.5297
701087.0576,240916.5297
700798.3824,240416.5297
700221.0321,240416.5297
699932.357,240916.5297
700221.0321,241416.5297
700798.3824,240416.5297
701087.0576,239916.5297
700798.3824,239416.5297
700221.0321,239416.5297
699932.357,239916.5297
700221.0321,240416.5297
700798.3824,239416.5297
701087.0576,238916.5297
700798.3824,238416.5297
700221.0321,238416.5297
699932.357,238916.5297
700221.0321,239416.5297
700798.3824,238416.5297
701087.0576,237916.5297
700798.3824,237416.5297
700221.0321,237416.5297
699932.357,237916.5297
700221.0321,238416.5297
700798.3824,237416.5297
701087.0576,236916.5297
700798.3824,236416.5297
700221.0321,236416.5297
699932.357,236916.5297
700221.0321,237416.5297
700798.3824,236416.5297
701087.0576,235916.5297
700798.3824,235416.5297
700221.0321,235416.5297
699932.357,235916.5297
700221.0321,236416.5297
700798.3824,235416.5297
701087.0576,234916.5297
700798.3824,234416.5297
700221.0321,234416.5297
699932.357,234916.5297
700221.0321,235416.5297
700798.3824,234416.5297
701087.0576,233916.5297
700798.3824,233416.5297
700221.0321,233416.5297
699932.357,233916.5297
700221.0321,234416.5297
700798.3824,233416.5297
701087.0576,232916.5297
700798.3824,232416.5297
700221.0321,232416.5297
699932.357,232916.5297
700221.0321,233416.5297
700798.3824,232416.5297
701087.0576,231916.5297
700798.3824,231416.5297
700221.0321,231416.5297
699932.357,231916.5297
700221.0321,232416.5297
700798.3824,231416.5297
701087.0576,230916.5297
700798.3824,230416.5297
700221.0321,230416.5297
699932.357,230916.5297
700221.0321,231416.5297
700798.3824,230416.5297
701087.0576,229916.5297
700798.3824,229416.5297
700221.0321,229416.5297
699932.357,229916.5297
700221.0321,230416.5297
700798.3824,229416.5297
701087.0576,228916.5297
700798.3824,228416.5297
700221.0321,228416.5297
699932.357,228916.5297
700221.0321,229416.5297
700798.3824,228416.5297
701087.0576,227916.5297
700798.3824,227416.5297
700221.0321,227416.5297
699932.357,227916.5297
700221.0321,228416.5297
700798.3824,227416.5297
701087.0576,226916.5297
700798.3824,226416.5297
700221.0321,226416.5297
699932.357,226916.5297
700221.0321,227416.5297
700798.3824,226416.5297
701087.0576,225916.5297
700798.3824,225416.5297
700221.0321,225416.5297
699932.357,225916.5297
700221.0321,226416.5297
700798.3824,225416.5297
701087.0576,224916.5297
700798.3824,224416.5297
700221.0321,224416.5297
699932.357,224916.5297
700221.0321,225416.5297
700798.3824,224416.5297
701087.0576,223916.5297
700798.3824,223416.5297
700221.0321,223416.5297
699932.357,223916.5297
700221.0321,224416.5297
700798.3824,223416.5297
701087.0576,222916.5297
700798.3824,222416.5297
700221.0321,222416.5297
699932.357,222916.5297
700221.0321,223416.5297
700798.3824,222416.5297
701087.0576,221916.5297
700798.3824,221416.5297
700221.0321,221416.5297
699932.357,221916.5297
700221.0321,222416.5297
700798.3824,221416.5297
701087.0576,220916.5297
700798.3824,220416.5297
700221.0321,220416.5297
699932.357,220916.5297
700221.0321,221416.5297
700798.3824,220416.5297
701087.0576,219916.5297
700798.3824,219416.5297
700221.0321,219416.5297
699932.357,219916.5297
700221.0321,220416.5297
700798.3824,219416.5297
701087.0576,218916.5297
700798.3824,218416.5297
700221.0321,218416.5297
699932.357,218916.5297
700221.0321,219416.5297
700798.3824,218416.5297
701087.0576,217916.5297
700798.3824,217416.5297
700221.0321,217416.5297
699932.357,217916.5297
700221.0321,218416.5297
700798.3824,217416.5297
701087.0576,216916.5297
700798.3824,216416.5297
700221.0321,216416.5297
699932.357,216916.5297
700221.0321,217416.5297
700798.3824,216416.5297
701087.0576,215916.5297
700798.3824,215416.5297
700221.0321,215416.5297
699932.357,215916.5297
700221.0321,216416.5297
700798.3824,215416.5297
701087.0576,214916.5297
700798.3824,214416.5297
700221.0321,214416.5297
699932.357,214916.5297
700221.0321,215416.5297
700798.3824,214416.5297
701087.0576,213916.5297
700798.3824,213416.5297
700221.0321,213416.5297
699932.357,213916.5297
700221.0321,214416.5297
700798.3824,213416.5297
701087.0576,212916.5297
700798.3824,212416.5297
700221.0321,212416.5297
699932.357,212916.5297
700221.0321,213416.5297
700798.3824,212416.5297
701087.0576,211916.5297
700798.3824,211416.5297
700221.0321,211416.5297
699932.357,211916.5297
700221.0321,212416.5297
700798.3824,211416.5297
701087.0576,210916.5297
700798.3824,210416.5297
700221.0321,210416.5297
699932.357,210916.5297
700221.0321,211416.5297
700798.3824,210416.5297
701087.0576,209916.5297
700798.3824,209416.5297
700221.0321,209416.5297
699932.357,209916.5297
700221.0321,210416.5297
700798.3824,209416.5297
701087.0576,208916.5297
700798.3824,208416.5297
700221.0321,208416.5297
699932.357,208916.5297
700221.0321,209416.5297
700798.3824,208416.5297
701087.0576,207916.5297
700798.3824,207416.5297
700221.0321,207416.5297
699932.357,207916.5297
700221.0321,208416.5297
700798.3824,207416.5297
701087.0576,206916.5297
700798.3824,206416.5297
700221.0321,206416.5297
699932.357,206916.5297
700221.0321,207416.5297
700798.3824,206416.5297
701087.0576,205916.5297
700798.3824,205416.5297
700221.0321,205416.5297
699932.357,205916.5297
700221.0321,206416.5297
700798.3824,205416.5297
701087.0576,204916.5297
700798.3824,204416.5297
700221.0321,204416.5297
699932.357,204916.5297
700221.0321,205416.5297
700798.3824,204416.5297
701087.0576,203916.5297
700798.3824,203416.5297
700221.0321,203416.5297
699932.357,203916.5297
700221.0321,204416.5297
700798.3824,203416.5297
701087.0576,202916.5297
700798.3824,202416.5297
700221.0321,202416.5297
699932.357,202916.5297
700221.0321,203416.5297
700798.3824,202416.5297
701087.0576,201916.5297
700798.3824,201416.5297
700221.0321,201416.5297
699932.357,201916.5297
700221.0321,202416.5297
700798.3824,201416.5297
701087.0576,200916.5297
700798.3824,200416.5297
700221.0321,200416.5297
699932.357,200916.5297
700221.0321,201416.5297
700798.3824,200416.5297
701087.0576,199916.5297
700798.3824,199416.5297
700221.0321,199416.5297
699932.357,199916.5297
700221.0321,200416.5297
700798.3824,199416.5297
701087.0576,198916.5297
700798.3824,198416.5297
700221.0321,198416.5297
699932.357,198916.5297
700221.0321,199416.5297
700798.3824,198416.5297
701087.0576,197916.5297
700798.3824,197416.5297
700221.0321,197416.5297
699932.357,197916.5297
700221.0321,198416.5297
700798.3824,197416.5297
701087.0576,196916.5297
700798.3824,196416.5297
700221.0321,196416.5297
699932.357,196916.5297
700221.0321,197416.5297
700798.3824,196416.5297
701087.0576,195916.5297
700798.3824,195416.5297
700221.0321,195416.5297
699932.357,195916.5297
700221.0321,196416.5297
700798.3824,195416.5297
701087.0576,194916.5297
700798.3824,194416.5297
700221.0321,194416.5297
699932.357,194916.5297
700221.0321,195416.5297
700798.3824,194416.5297
701087.0576,193916.5297
700798.3824,193416.5297
700221.0321,193416.5297
699932.357,193916.5297
700221.0321,194416.5297
700798.3824,193416.5297
701087.0576,192916.5297
700798.3824,192416.5297
700221.0321,192416.5297
699932.357,192916.5297
700221.0321,193416.5297
700798.3824,192416.5297
701087.0576,191916.5297
700798.3824,191416.5297
700221.0321,191416.5297
699932.357,191916.5297
700221.0321,192416.5297
700798.3824,191416.5297
701087.0576,190916.5297
700798.3824,190416.5297
700221.0321,190416.5297
699932.357,190916.5297
700221.0321,191416.5297
700798.3824,190416.5297
701087.0576,189916.5297
700798.3824,189416.5297
700221.0321,189416.5297
699932.357,189916.5297
700221.0321,190416.5297
700798.3824,189416.5297
701087.0576,188916.5297
700798.3824,188416.5297
700221.0321,188416.5297
699932.357,188916.5297
700221.0321,189416.5297
700798.3824,188416.5297
701087.0576,187916.5297
700798.3824,187416.5297
700221.0321,187416.5297
699932.357,187916.5297
700221.0321,188416.5297
700798.3824,187416.5297
701087.0576,186916.5297
700798.3824,186416.5297
700221.0321,186416.5297
699932.357,186916.5297
700221.0321,187416.5297
700798.3824,186416.5297
701087.0576,185916.5297
700798.3824,185416.5297
700221.0321,185416.5297
699932.357,185916.5297
700221.0321,186416.5297
700798.3824,185416.5297
701087.0576,184916.5297
700798.3824,184416.5297
700221.0321,184416.5297
699932.357,184916.5297
700221.0321,185416.5297
700798.3824,184416.5297
701087.0576,183916.5297
700798.3824,183416.5297
700221.0321,183416.5297
699932.357,183916.5297
700221.0321,184416.5297
700798.3824,183416.5297
701087.0576,182916.5297
700798.3824,182416.5297
700221.0321,182416.5297
699932.357,182916.5297
700221.0321,183416.5297
700798.3824,182416.5297
701087.0576,181916.5297
700798.3824,181416.5297
700221.0321,181416.5297
699932.357,181916.5297
700221.0321,182416.5297
700798.3824,181416.5297
701087.0576,180916.5297
700798.3824,180416.5297
700221.0321,180416.5297
699932.357,180916.5297
700221.0321,181416.5297
700798.3824,180416.5297
701087.0576,179916.5297
700798.3824,179416.5297
700221.0321,179416.5297
699932.357,179916.5297
700221.0321,180416.5297
700798.3824,179416.5297
701087.0576,178916.5297
700798.3824,178416.5297
700221.0321,178416.5297
699932.357,178916.5297
700221.0321,179416.5297
700798.3824,178416.5297
701087.0576,177916.5297
700798.3824,177416.5297
700221.0321,177416.5297
699932.357,177916.5297
700221.0321,178416.5297
700798.3824,177416.5297
701087.0576,176916.5297
700798.3824,176416.5297
700221.0321,176416.5297
699932.357,176916.5297
700221.0321,177416.5297
700798.3824,176416.5297
701087.0576,175916.5297
700798.3824,175416.5297
700221.0321,175416.5297
699932.357,175916.5297
700221.0321,176416.5297
700798.3824,175416.5297
701087.0576,174916.5297
700798.3824,174416.5297
700221.0321,174416.5297
699932.357,174916.5297
700221.0321,175416.5297
700798.3824,174416.5297
701087.0576,173916.5297
700798.3824,173416.5297
700221.0321,173416.5297
699932.357,173916.5297
700221.0321,174416.5297
700798.3824,173416.5297
701087.0576,172916.5297
700798.3824,172416.5297
700221.0321,172416.5297
699932.357,172916.5297
700221.0321,173416.5297
700798.3824,172416.5297
701087.0576,171916.5297
700798.3824,171416.5297
700221.0321,171416.5297
699932.357,171916.5297
700221.0321,172416.5297
700798.3824,171416.5297
701087.0576,170916.5297
700798.3824,170416.5297
700221.0321,170416.5297
699932.357,170916.5297
700221.0321,171416.5297
700798.3824,170416.5297
701087.0576,169916.5297
700798.3824,169416.5297
700221.0321,169416.5297
699932.357,169916.5297
700221.0321,170416.5297
700798.3824,169416.5297
701087.0576,168916.5297
700798.3824,168416.5297
700221.0321,168416.5297
699932.357,168916.5297
700221.0321,169416.5297
700798.3824,168416.5297
701087.0576,167916.5297
700798.3824,167416.5297
700221.0321,167416.5297
699932.357,167916.5297
700221.0321,168416.5297
700798.3824,167416.5297
701087.0576,166916.5297
700798.3824,166416.5297
700221.0321,166416.5297
699932.357,166916.5297
700221.0321,167416.5297
700798.3824,166416.5297
701087.0576,165916.5297
700798.3824,165416.5297
700221.0321,165416.5297
699932.357,165916.5297
700221.0321,166416.5297
700798.3824,165416.5297
701087.0576,164916.5297
700798.3824,164416.5297
700221.0321,164416.5297
699932.357,164916.5297
700221.0321,165416.5297
700798.3824,164416.5297
701087.0576,163916.5297
700798.3824,163416.5297
700221.0321,163416.5297
699932.357,163916.5297
700221.0321,164416.5297
700798.3824,163416.5297
701087.0576,162916.5297
700798.3824,162416.5297
700221.0321,162416.5297
699932.357,162916.5297
700221.0321,163416.5297
700798.3824,162416.5297
701087.0576,161916.5297
700798.3824,161416.5297
700221.0321,161416.5297
699932.357,161916.5297
700221.0321,162416.5297
700798.3824,161416.5297
701087.0576,160916.5297
700798.3824,160416.5297
700221.0321,160416.5297
699932.357,160916.5297
700221.0321,161416.5297
700798.3824,160416.5297
701087.0576,159916.5297
700798.3824,159416.5297
700221.0321,159416.5297
699932.357,159916.5297
700221.0321,160416.5297
700798.3824,159416.5297
701087.0576,158916.5297
700798.3824,158416.5297
700221.0321,158416.5297
699932.357,158916.5297
700221.0321,159416.5297
700798.3824,158416.5297
701087.0576,157916.5297
700798.3824,157416.5297
700221.0321,157416.5297
699932.357,157916.5297
700221.0321,158416.5297
700798.3824,157416.5297
701087.0576,156916.5297
700798.3824,156416.5297
700221.0321,156416.5297
699932.357,156916.5297
700221.0321,157416.5297
700798.3824,156416.5297
701087.0576,155916.5297
700798.3824,155416.5297
700221.0321,155416.5297
699932.357,155916.5297
700221.0321,156416.5297
700798.3824,155416.5297
701087.0576,154916.5297
700798.3824,154416.5297
700221.0321,154416.5297
699932.357,154916.5297
700221.0321,155416.5297
700798.3824,154416.5297
701087.0576,153916.5297
700798.3824,153416.5297
700221.0321,153416.5297
699932.357,153916.5297
700221.0321,154416.5297
700798.3824,153416.5297
701087.0576,152916.5297
700798.3824,152416.5297
700221.0321,152416.5297
699932.357,152916.5297
700221.0321,153416.5297
700798.3824,152416.5297
701087.0576,151916.5297
700798.3824,151416.5297
700221.0321,151416.5297
699932.357,151916.5297
700221.0321,152416.5297
700798.3824,151416.5297
701087.0576,150916.5297
700798.3824,150416.5297
700221.0321,150416.5297
699932.357,150916.5297
700221.0321,151416.5297
700798.3824,150416.5297
701087.0576,149916.5297
700798.3824,149416.5297
700221.0321,149416.5297
699932.357,149916.5297
700221.0321,150416.5297
700798.3824,149416.5297
701087.0576,148916.5297
700798.3824,148416.5297
700221.0321,148416.5297
699932.357,148916.5297
700221.0321,149416.5297
700798.3824,148416.5297
701087.0576,147916.5297
700798.3824,147416.5297
700221.0321,147416.5297
699932.357,147916.5297
700221.0321,148416.5297
700798.3824,147416.5297
